UserScreenName,formatted_text,Timestamp,Comments,Likes,Retweets
Embaixada da Rússia,A rússia está a aumentar as suas próprias capacidades de transporte no final do ano passado o estaleiro “zvezda lançou um novo petroleiro “okeansky prospekt com um porte bruto de  mil toneladas está prevista a construç o de um total de  embarcaç es deste tipo ,2023-02-27T19:23:57.000Z,1.0,2.0,12.0
Embaixada da Rússia,Na época da urss uma cidade inteira foi construída numa floresta siberiana para que os melhores físicos matemáticos e biólogos soviéticos pudessem dedicar se totalmente s pesquisas conheçamos mas deste vale do silício russo akademgorodok https br.rbth.com estilo de vida  construida nos anos  cidade cientistas floresta siberiana grandes descobertas ,2023-02-25T17:42:40.000Z,1.0,1.0,16.0
Embaixada da Rússia,Según a decis o da agnu hoje marca se o dia mundial da vida selvagem compreendemos a import ncia de preservar a flora e a fauna pelo que a rússia tem  reservas naturais 43 parques nacionais gigantes e  santuários da natureza num total de quase  mil km ,2023-03-03T10:23:26.000Z,1.0,4.0,12.0
Embaixada da Rússia,O festival de escultura de gelo «kronshled começou na cidade de kronstadt onde foram apresentadas  esculturas por artistas de todo o país os temas da exposiç o s o o  aniversário de s o petersburgo e da frota do báltico da marinha bem como a história de kronstadt,2023-03-05T18:46:31.000Z,1.0,1.0,14.0
Embaixada da Rússia,"Foi completado em moscovo o maior projeto da história da construç o de metro que é a linha grande circular tem  estaç es e a sua extens o é de  km o fluxo de passageiros na nova linha de metro atinge ,3 milh es de pessoas por dia ",2023-03-09T13:14:35.000Z,1.0,2.0,7.0
Embaixada da Rússia,Sabia que o maior sino do mundo está na rússia o czar sino localizado no kremlin de moscovo pesa  toneladas e tem mais de  metros de altura send dúvidas é um monumento da arte de fundiç o russa ,2023-03-15T13:11:36.000Z,1.0,8.0,82.0
Embaixada da Rússia,No ano passado o estaleiro de “baltiisky zavod lançou o terceiro de cinco quebra gelos da nova geraç o para servir na rota rtica marítima ao largo das costas russas de norte mais sobre a frota de quebra gelos nucleares da rússia no documentário de rt http rtd.rt.com films iceline lifeline ,2023-03-12T11:59:59.000Z,1.0,2.0,6.0
Embaixada da Rússia,Em fevereiro passado na rússia foram inauguradas novos terminais de passageiros nos aeroportos de novosibirsk e novy urengoy a sua capacidade por hora é de .800 e  passageiros respetivamente até o fim de  a quantidade de aeroportos modernizados alcançará  ,2023-03-13T13:00:37.000Z,1.0,2.0,5.0
Embaixada da Rússia,Hoje comemora se o aniversário do grande pintor russo mikhail vrubel nasceu em omsk em  e entrou para a história da arte visual como pintor de ícones e restaurador figurinista e cenógrafo ,2023-03-17T13:26:52.000Z,1.0,2.0,10.0
Embaixada da Rússia,O governo de #moscovo está a conduzir uma grande renovaç o da #habitaç o na cidade até  planeia se demolir  edifícios degradados para construir complexos de apartamentos modernos deste modo cerca de um milh o de moscovitas ir o melhorar as suas condiç es de vida ,2023-03-20T14:58:33.000Z,1.0,1.0,5.0
