UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rusia en España,@EmbajadaRusaES,2022-01-20T18:30:56.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 20, 2022
Organización gubernamental de Rusia"," #EnVivo en la Embajada de Rusia en España  la palabra de bienvenida del Embajador Yuri #Korchagin en el marco de la representación “Moscú - San Petersburgo. Destinos turísticos 2022”. 

#MoscowExpo2030",🔴,5,5,36,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1484231454724874248/pu/img/s_NVLxQ-BxNPaU-q.jpg']",https://twitter.com/EmbajadaRusaES/status/1484231990769594373
Rusia en España,@EmbajadaRusaES,2022-01-20T15:24:07.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 20, 2022
Organización gubernamental de Rusia"," ¡Feliz cumpleaños, Maestro!",🎂,1,10,109,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/506575992882606080/PSgL39rB_normal.jpeg', 'https://pbs.twimg.com/media/FJiqiUfXoAUlH0Z?format=jpg&name=small', 'https://pbs.twimg.com/media/FJiqiUsWYAQ5p-D?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FJiqiUiWUAYCPsN?format=jpg&name=medium', 'https://pbs.twimg.com/media/FJiqiUrXMAE-WUq?format=jpg&name=900x900']",https://twitter.com/EmbajadaRusaES/status/1484184973750026240
Rusia en España,@EmbajadaRusaES,2022-01-19T17:33:25.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 19, 2022
Organización gubernamental de Rusia"," Ahora mismo el Ministro Consejero de la Embajada de Rusia en España, Dmitry Sokolov participa en los debates 
@idaps_debate
, explicando la posición rusa  en las relaciones con el Occidente ",🔴,,6,26,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJe2XtsXsAs1q5e?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FJe2XtmWYAkiQSY?format=jpg&name=900x900']",https://twitter.com/EmbajadaRusaES/status/1483855128381775877
Rusia en España,@EmbajadaRusaES,2022-01-19T12:59:17.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 19, 2022
Organización gubernamental de Rusia","#Moscú es la mejor ciudad para la Expo Mundial 2030

 La capital  es el mayor centro político, económico, financiero y científico del país con amplia experiencia en organizar los eventos internacionales clave como 
@juegosolimpicos
, 
@FIFAWorldCup
 y muchos más.

#MoscowExpo2030",🔥,1,21,59,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJd3oLJXEAEtuMT?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1483786139437875200
Rusia en España,@EmbajadaRusaES,2022-01-17T13:19:05.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 17, 2022
Organización gubernamental de Rusia"," Artículo de C.Prieto “Pontevedra se nutre de uno de los grandes talentos rusos” publicado en 
@Farodevigo
 dedicado a nuestra doble medallista olímpica Vlada Chigireva 

 https://bit.ly/3FF7XT4",📰 💐,,3,14,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJTo-uaXIAAptD5?format=jpg&name=900x900']",https://twitter.com/EmbajadaRusaES/status/1483066345390542851
Rusia en España,@EmbajadaRusaES,2022-01-21T18:54:11.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 21, 2022
Organización gubernamental de Rusia"," Es, señoras y señores, amigas y amigos, compañeras y compañeros, la respuesta a la histeria sobre la amenaza rusa ",⚠,53,426,599,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbajadaRusaES/status/1484600228233764864
Rusia en España,@EmbajadaRusaES,2022-01-22T14:24:46.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 22, 2022
Organización gubernamental de Rusia", Descubrimos el modus operandi de “Atlántida” ,‼ ‼,31,140,257,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJtnt7zXoAodpDt?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1484894814084739077
Rusia en España,@EmbajadaRusaES,2022-01-25T07:54:45.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 24, 2022
Organización gubernamental de Rusia","¡Buenos días! 

Desde Sérguiev Posad  con ",❤,10,10,157,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ7rcA2XoAEXTDC?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1485883827784495105
Rusia en España,@EmbajadaRusaES,2022-01-25T11:45:52.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 25, 2022
Organización gubernamental de Rusia", Unos dicen que nuestro Ministro de Exteriores Serguéi #Lavrov no sonríe. Totalmente falso ,😳 🤣,11,17,78,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1485941498680127490/pu/img/pf6m-aC6Z_xl40Xc.jpg']",https://twitter.com/EmbajadaRusaES/status/1485941988616769542
Rusia en España,@EmbajadaRusaES,2022-01-21T13:08:56.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 21, 2022
Organización gubernamental de Rusia"," El dirigente de 
@mae_rusia
 Serguéi #Lavrov: #Rusia nunca amenazó al pueblo de #Ucrania ni tiene planes de invadir al país eslavo.",💬,18,43,87,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJoNA4hX0AEGfoh?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1484513341603291144
Rusia en España,@EmbajadaRusaES,2022-01-23T14:17:04.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 23, 2022
Organización gubernamental de Rusia"," El ajedrecista ruso Anatoli Karpov junto a Salvador Dalí. 1979

 Dalí tenía el interés por el ajedrez, y yo tenía pasión por su trabajo... No pudimos evitar conocernos. Rápidamente encontramos un lenguaje común. A pesar de que tenía 28 años, no hubo arrogancia de su parte.",💬,3,16,108,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJyvymKWQAkDpxq?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1485255265326972930
Rusia en España,@EmbajadaRusaES,2022-01-21T16:29:10.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 21, 2022
Organización gubernamental de Rusia"," Serguéi #Lavrov: La situación en #Ucrania requiere una atención especial, pero toda la problemática de la seguridad europea no puede reducirse a esta cuestión - en una conferencia de prensa tras negociaciones con el secretario de Estado de #EEUU, Antony #Blinken. 21.01.2021.",💬,,17,36,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJo5-ykXsAMyeDu?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1484563733737353222
Rusia en España,@EmbajadaRusaES,2022-01-24T18:44:43.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 24, 2022
Organización gubernamental de Rusia"," Concierto con motivo de la inauguración del Cónsul Honorario de la Federación de Rusia en el Principado de Andorra, Narcís Socías Tomás ",,1,3,25,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ42o7BWQAgHhpO?format=jpg&name=medium', 'https://pbs.twimg.com/media/FJ42o7HXsAU1s7n?format=jpg&name=large']",https://twitter.com/EmbajadaRusaES/status/1485685008681603072
Rusia en España,@EmbajadaRusaES,2022-01-22T12:26:36.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 22, 2022
Organización gubernamental de Rusia"," Entrevista ofrecida por el Ministro de Asuntos Exteriores de la Federación de #Rusia, Serguéi #Lavrov, al programa ‘Bolshaya Igrá’ en la cadena de TV ‘Pervy Kanal’, Moscú, 13 de enero de 2022 

 https://bit.ly/3FTd4Pw",🎙,2,11,47,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJtM6rVWUAk6V5D?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1484865077119438850
Rusia en España,@EmbajadaRusaES,2022-01-29T22:29:06.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 29, 2022
Organización gubernamental de Rusia"," ¡Buenas noches, España!

 Desde la región de Vladimir  con ",🌙 📍 ❤,21,17,268,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKTZ8gpWQAAFBK-?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1487553415312031747
Rusia en España,@EmbajadaRusaES,2022-01-29T14:08:19.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 29, 2022
Organización gubernamental de Rusia"," Réplica de la Embajada de Rusia en España enviada el 29 de enero de a.c. a la redacción de 
@elpais_inter",⚠,29,227,485,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKRnUVnWUAAw1_X?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1487427392033280000
Rusia en España,@EmbajadaRusaES,2022-01-27T19:05:38.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 27, 2022
Organización gubernamental de Rusia"," El Presidente de Rusia, Vladimir #Putin, sobre las garantías de seguridad ",💬,17,72,119,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1486777310556610564/pu/img/cIccYnA5eV0FkGru.jpg']",https://twitter.com/EmbajadaRusaES/status/1486777434640994307
Rusia en España,@EmbajadaRusaES,2022-01-26T19:11:46.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 26, 2022
Organización gubernamental de Rusia","#TalDiaComoHoy, el 26 de enero de 1934 #Alemania nazi y #Polonia firmaron el Pacto Hitler-Pilsudski. 

Fue el primer éxito de política exterior de los nazis 

El año 1934 fue testigo de tierna amistad entre dos Estados . Amistad contra la #URSS. 

 Pilsudski con Goebbels",☠ 📸,17,156,304,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKDQAm6XIAce78W?format=jpg&name=900x900']",https://twitter.com/EmbajadaRusaES/status/1486416591294283783
