_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames
Channel,1251136642,Vakulinchuk,"{'_': 'ChatPhoto', 'photo_id': 6030572153524565104, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x8dd\x97\x7f\x96\xd9\x18\xeaON\xd4QE\x00\x7f'}",2020-10-01 23:19:50+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-493095527162952982,vakulinchuk,[],,,,12862,[]
Channel,1684062237,DAViD.cu,"{'_': 'ChatPhoto', 'photo_id': 5035194516100983512, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb2\x1ao\xb70(\xdb\xb20\xd8\xe3m\x14QL.\x7f'}",2022-03-14 00:47:57+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5798651718184951473,DAVlDcu,[],,,,9661,[]
Channel,1750459307,el OJO en,"{'_': 'ChatPhoto', 'photo_id': 5359608870735034480, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcd\xfd\xd7\xd9\xbby\x94QE\x00\x7f'}",2022-04-05 09:05:28+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-7388805339279247986,elOJOen,[],,,,16930,[]
Channel,1534529260,Helena Villar,"{'_': 'ChatPhoto', 'photo_id': 5118467566828890898, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa3/\x94\xa9\xb0c;\xfa\xe3\xa0\xa2\x8a)$\x0c'}",2021-07-11 03:29:25+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7563153379212141831,helenavillarRT,[],,,,15325,[]
Channel,1605322611,Noticias de LAD🇷🇺,"{'_': 'ChatPhoto', 'photo_id': 5035092128375613770, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08{[I\xe4n\x0f\xfb\xdd\xd9\xc6\xee\xd4QE_1\x16?'}",2022-03-23 14:10:52+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2629631455024639644,LAD_MAERusia,[],,,,3560,[]
Channel,1417414502,Julio Ariza,"{'_': 'ChatPhoto', 'photo_id': 5809885266293405225, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa0\n\x9b&\x1f.\xed\xe2\x8a(\xa7a\xdc'}",2020-07-24 12:52:38+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3454443025131215812,Julioarizaeltoro,[],,,,55418,[]
Channel,1488024151,Liu Sivaya,"{'_': 'ChatPhoto', 'photo_id': 5846154160574150961, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x1ah\xccx\nB\x93\xfa\xd1E\x15\xa4%\xca\r\\'}",2020-05-10 14:03:38+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7715494844632695015,liusivaya,[],,,,60172,[]
Channel,1750481762,¡Ahí les va!,"{'_': 'ChatPhoto', 'photo_id': 5301269883276867728, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa4>\xcel\xc9\xc2\t1\x8ez\xe6\x8a(\xa0\x0f'}",2022-03-16 14:29:25+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5218698953481864736,ahilesvaALV,[],,,,40876,[]
Channel,1590534742,MoD Russia,"{'_': 'ChatPhoto', 'photo_id': 5267323754554440093, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd7\xf9\xfc\xce\x83f=h\xa2\x8a\x00'}",2022-03-05 10:28:41+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3146559627563667350,mod_russia_en,[],,,,95782,[]
Channel,1503004102,Embajada de Rusia en Argentina - Посольство России в Аргентине,"{'_': 'ChatPhoto', 'photo_id': 5249043939950967257, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08I'@O\xce9>\xbe\xd4QE\x00\x7f""}",2022-02-26 13:57:56+00:00,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6122805559293961991,EmbRusiaEnArg,[],,,,2841,[]
